2018-03-21 11:42:22 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:42:47 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:42:47 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:42:47 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:43:29 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050006';
2018-03-21 11:43:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:43:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:43:39 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:44:01 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050006';
2018-03-21 11:44:07 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:44:07 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:44:07 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:44:43 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:44:43 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:44:43 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:44:49 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:44:49 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:44:49 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:46:16 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:46:16 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:46:16 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:46:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:46:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:46:36 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:47:44 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:47:44 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:47:44 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:48:01 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:48:01 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:48:01 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:48:59 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:48:59 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:48:59 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:50:08 EXEC SPC_COM_GET_COMBOBOX 'fwd_status_div';
2018-03-21 11:50:13 EXEC SPC_COM_GET_COMBOBOX 'fwd_status_div';
2018-03-21 11:50:23 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','20','1','10';
2018-03-21 11:50:26 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-21 11:50:26 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-21 11:50:26 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-21 11:50:27 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-21 11:50:27 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-21 11:50:32 EXEC SPC_COM_GET_COMBOBOX 'fwd_status_div';
2018-03-21 11:50:32 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','20','1','10';
2018-03-21 11:50:37 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-21 11:50:37 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-21 11:50:37 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-21 11:50:37 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-21 11:50:37 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-21 11:50:50 EXEC SPC_COM_GET_COMBOBOX 'fwd_status_div';
2018-03-21 11:50:50 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','20','1','10';
2018-03-21 11:51:15 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-21 11:51:15 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-21 11:51:15 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-21 11:51:15 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-21 11:51:15 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-21 12:31:31 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:31:31 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:31:31 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:32:22 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-21 12:32:22 EXEC SPC_GET_CONSTANT '';
2018-03-21 12:32:31 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
